raw_line,product_id,quantity
(!!!),0,0
(1),,0,0
(27.08.2025) in die Schule mit.,0,0
(= 1 Schul- und Hausheft + 1 Regelheft),1034,1
(= Schul- und Hausheft),1002,1
(Bitte	beim	Kauf	auf	Rechts-	oder,0,0
(Das Papier wird gemeinsam gesammelt und muss nicht beschriftet werden!),0,0
"(HB, 2B)",1004,1
(Lineatur),1002,1
"(Musik), rot (Tests), orange (Freiarbeit)",1049,1
"(Schreibwarenladen, Drogeriemarkt,…) vorrätig.",0,0
(Sie können auch noch vorhandene Schläppchen weiter benutzen. Bei Neukauf bitte feste,0,0
(Sporthose	und	T-Shirt),0,0
(an zwei Seiten offen),0,0
(auch jeden Stift/Pinsel!) sowie die,0,0
(blau oder,1008,1
(blau),1008,1
(braun),0,0
(dunkles Grau),0,0
(dunkles grau),0,0
(dunkles grün),1017,1
"(fakultativ): Phase 6 (digitaler Karteikasten), Karteikarten + Kasten; Stowasser,",1013,1
(für dünne und,0,0
(gelb),1053,1
(gibt es auch für,0,0
(helles Grau),0,0
(helles Grün),1017,1
(helles grau),0,0
(helles grün),1017,1
(kariert mit,1041,1
"(kein Flüssigkleber,",0,0
(lila),1055,1
(liniert mit,1034,1
(liniert mit Rand) ja Workbook,1037,1
(liniert),1002,1
(mit	heller,0,0
(optional Tragtasche),0,0
(orange),0,0
(pink),0,0
(rot),1016,1
(türkis),0,0
(weiß),1024,1
"(weiß,",1024,1
"(z.B. Faber-Castell), Spitzer, Radiergummi; ggf. weiteres Material nach",0,0
"(z.B. Stabilo); Holzbuntstifte (z.B. Faber-Castell), Spitzer, Radiergummi; ggf.",0,0
"- 1 Wasserbehälter (auf Standfestigkeit achten, Schraubverschluss)",0,0
- Lappen (zum Abtupfen der Pinsel) und kleiner Schwamm in Dose,0,0
"- Pinsel: 3 Borstenpinsel (z.B. Nr. 4, 12, 16), 3 Haarpinseln (z.B. Nr. 4, 8, 12)",1010,1
- Tonpapierblock DIN A4 und 1 Transparentpapierset,1062,1
- aufgefüllter und sauberer Malkasten mit Deckweiß (auf Qualität achten),0,0
- wasserfeste Wachsmalkreiden (Jaxon),0,0
-->,0,0
"0,5, 0,7)",0,0
"0,5; 0,7",0,0
062788-2 (ISBN unbedingt beachten!),0,0
062790-5 (ISBN unbedingt beachten!),0,0
1	Dose	Knete,0,0
1	Malblock	DIN	A3	(einseitig	gebunden),1014,1
1	Malkittel	(z.B.	altes	T-Shirt	oder	Hemd),0,0
"1	Mäppchen,	darin:",0,0
1	Packung	weißes	Kopierpapier	DIN	A4,1024,1
1	Prospekthülle	(bitte	mit	Namen	beschriften	und	im	Schnellhefter,0,0
1	Radiergummi	(keine	Figürchen),1006,1
1	Sammelmappe	DIN	A3,0,0
"1	Schreibheft	DIN	A4,	Nr.1,	Lineatur	Kl.1,	farbig	hinterlegt",0,0
1	Silbenstift	(dick)	rot/blau,1021,1
1	Stofftasche	mit:,0,0
"1	Umschlag	blau,	DIN	A4",1023,1
1	Umschlag	rot	DIN	A4,1021,1
1	Umschlag	transparent	DIN	A4,1062,1
1	Wasserfarbkasten	mit	12	Farben	(auf	gute	Qualität	achten),1058,1
1	blauer	Schnellhefter	aus	Pappe,1015,1
1	dünner	Bleistift,1004,1
1	gelbe	Mappe	mit	Gummiband	(Eckspanner)	als	„Postmappe“,0,0
1	kleiner	Lappen	zum	Abtupfen,0,0
1	kleines	Lineal,0,0
1	roter	Schnellhefter	aus	Pappe,1015,1
