basket_id,schuljahr_label,product_id,product_name,quantity,unit_price,total_price,is_mixed_order
B00001,Klasse 8,1027,Collegeblock A4 kariert (80 Blatt),3,1.79,5.37,0
B00001,Klasse 8,1044,Fineliner 10er Set Stabilo Point 88,1,7.99,7.99,0
B00001,Klasse 8,1034,Schulkompass Zirkel Staedtler,1,8.5,8.5,0
B00001,Klasse 8,1024,Schulheft A4 liniert Lineatur 21 (16 Blatt),5,0.99,4.95,0
B00001,Klasse 8,1046,Ordner A4 breit 80mm schwarz,2,3.49,6.98,0
B00002,Klasse 12,1037,Lineal 30cm Kunststoff transparent,1,1.1,1.1,0
B00002,Klasse 12,1049,Oxford Collegeblock A4 kariert (90g Papier),10,2.79,27.9,0
B00002,Klasse 12,1028,Collegeblock A4 liniert (80 Blatt),10,1.79,17.9,0
B00003,Klasse 10,1018,Tuschkasten K12 (12 Farben),1,9.95,9.95,0
B00003,Klasse 10,1046,Ordner A4 breit 80mm schwarz,2,3.49,6.98,0
B00003,Klasse 10,1059,Karteikarten A7 liniert 100 Stück,1,1.49,1.49,0
B00003,Klasse 10,1030,Geodreieck 22 cm Griff transparent,1,2.1,2.1,0
B00004,Klasse 12,1030,Geodreieck 22 cm Griff transparent,1,2.1,2.1,0
B00004,Klasse 12,1055,Kugelschreiber Grip 2011 M blau (dokumentenecht),1,4.5,4.5,0
B00005,Klasse 11,1057,Textmarker-Set Pastell 6 Farben Stabilo Boss,1,6.99,6.99,0
B00005,Klasse 11,1029,Geodreieck 16 cm transparent Aristo,1,1.2,1.2,0
B00006,Klasse 6,1031,Füllfederhalter Lamy Safari M,1,19.9,19.9,0
B00006,Klasse 6,1015,Radiergummi soft (für Bleistifte),1,0.8,0.8,0
B00006,Klasse 6,1028,Collegeblock A4 liniert (80 Blatt),5,1.79,8.95,0
B00006,Klasse 6,1027,Collegeblock A4 kariert (80 Blatt),5,1.79,8.95,0
B00006,Klasse 6,1041,Schnellhefter A4 Kunststoff gelb,3,0.5,1.5,0
B00007,Klasse 3,1017,Zeichenblock A3 (20 Blatt),1,2.49,2.49,0
B00007,Klasse 3,1038,Schnellhefter A4 Kunststoff blau,2,0.5,1.0,0
B00007,Klasse 3,1019,Borstenpinsel-Set (Größen 4/8/12),1,3.5,3.5,0
B00007,Klasse 3,1040,Schnellhefter A4 Kunststoff grün,3,0.5,1.5,0
B00007,Klasse 3,1023,Hausaufgabenheft Grundschule A5,1,1.99,1.99,0
B00007,Klasse 3,1039,Schnellhefter A4 Kunststoff rot,1,0.5,0.5,0
B00007,Klasse 3,1013,Klebestift Uhu Renature 21g,1,1.89,1.89,0
B00007,Klasse 3,1041,Schnellhefter A4 Kunststoff gelb,1,0.5,0.5,0
B00007,Klasse 3,1005,Rechenheft A4 Lineatur 7 (7x7mm Kästchen),3,0.99,2.97,0
B00008,Klasse 8,1056,Kugelschreiber Grip 2011 M schwarz,3,4.5,13.5,0
B00008,Klasse 8,1044,Fineliner 10er Set Stabilo Point 88,1,7.99,7.99,0
B00008,Klasse 8,1041,Schnellhefter A4 Kunststoff gelb,5,0.5,2.5,0
B00008,Klasse 8,1058,Haftnotizen Post-it 76x76mm gelb,1,1.99,1.99,0
B00008,Klasse 8,1043,Textmarker-Set 4 Farben Stabilo Boss,1,4.99,4.99,0
B00008,Klasse 8,1061,Tintenroller Pilot Frixion Ball 0.7 schwarz,2,3.29,6.58,0
B00008,Klasse 8,1047,Wissenschaftlicher Taschenrechner Casio fx-87DE X,1,24.99,24.99,0
B00009,Klasse 3 & 9,1013,Klebestift Uhu Renature 21g,1,1.89,1.89,1
B00009,Klasse 3 & 9,1014,Doppelanspitzer Dose Trio Grip,1,2.99,2.99,1
B00009,Klasse 3 & 9,1008,Buntstifte 12er Set dreikant (dick),1,5.49,5.49,1
B00009,Klasse 3 & 9,1016,Sammelbox A4 Karton blau,1,2.49,2.49,1
B00009,Klasse 3 & 9,1058,Haftnotizen Post-it 76x76mm gelb,1,1.99,1.99,1
B00009,Klasse 3 & 9,1028,Collegeblock A4 liniert (80 Blatt),5,1.79,8.95,1
B00009,Klasse 3 & 9,1035,Buntstifte 24er Set dreikant,1,8.99,8.99,1
B00010,Klasse 1,1014,Doppelanspitzer Dose Trio Grip,1,2.99,2.99,0
B00010,Klasse 1,1001,Schreiblernheft A4 Lineatur 1 (16 Blatt),5,0.99,4.95,0
B00010,Klasse 1,1016,Sammelbox A4 Karton blau,3,2.49,7.47,0
B00010,Klasse 1,1038,Schnellhefter A4 Kunststoff blau,5,0.5,2.5,0
B00010,Klasse 1,1019,Borstenpinsel-Set (Größen 4/8/12),1,3.5,3.5,0
B00010,Klasse 1,1012,Bastelschere rund 13cm Linkshänder,1,2.2,2.2,0
B00011,Klasse 5,1020,Haarpinsel-Set (Größen 2/6/10),1,3.99,3.99,0
B00011,Klasse 5,1029,Geodreieck 16 cm transparent Aristo,1,1.2,1.2,0
B00011,Klasse 5,1037,Lineal 30cm Kunststoff transparent,1,1.1,1.1,0
B00011,Klasse 5,1028,Collegeblock A4 liniert (80 Blatt),2,1.79,3.58,0
B00011,Klasse 5,1017,Zeichenblock A3 (20 Blatt),1,2.49,2.49,0
B00011,Klasse 5,1041,Schnellhefter A4 Kunststoff gelb,3,0.5,1.5,0
B00011,Klasse 5,1019,Borstenpinsel-Set (Größen 4/8/12),1,3.5,3.5,0
B00012,Klasse 5 & 12,1019,Borstenpinsel-Set (Größen 4/8/12),1,3.5,3.5,1
B00012,Klasse 5 & 12,1017,Zeichenblock A3 (20 Blatt),1,2.49,2.49,1
B00012,Klasse 5 & 12,1045,Ringbuch A4 schmal 25mm,3,2.99,8.97,1
