"raw_line","product","amount"
"Materialliste der Klassen 1a 1b 1c","0","0"
"Eckspannmappe Schuljahr 2025 2026Mappen","0","0"
"4 Schnellhefter rot blau grün orange DIN A4","1016","4"
"1 Eckspannmappe gelbe Mappe mit Gummiband Eckspanner als Postmappe","0","0"
"4 Prospekthüllen Bitte in jeden Schnellhefter eine Prospekthülle heften DIN A4","1016","4"
"Mäppchen und Inhalt","1065","1"
"1 Mäppchen darin","0","0"
"2 dicke Dreikantbleistifte","0","0"
"1 dünner Bleistift","1004","1"
"1 kleines Lineal","1038","1"
"1 Radiergummi keine Figürchen","1006","1"
"dicke Buntstifte","1005","1"
"1 Schlampermäppchen mit","0","0"
"einer Kinderschere","0","0"
"Bitte beim Kauf auf Rechts oder","0","0"
"Linkshänderschere sowie eine abgerundete Spitze achten","1034","1"
"zwei Klebestiften","0","0"
"weiß","1024","1"
"kein Flüssigkleber","0","0"
"und einem Anspitzer mit Behälter","1018","1"
"für dicke","1067","1"
"und","1002","1"
"dünne Stifte Sonstiges","0","0"
"1 Packung weißes Kopierpapier DIN A4","1001","1"
"1 Malblock DIN A3 einseitig gebunden","1014","1"
"1 Sammelmappe DIN A3","1096","1"
"je einen","0","0"
"Borsten","0","0"
"pinsel dünn mittel dick","0","0"
"1 standfester Wasserbehälter","0","0"
"1 Malkittel z B altes T Shirt oder Hemd","0","0"
"1 Wasserfarbkasten mit 12 Farben auf gute Qualität achten","1097","1"
"Für den Sportunterricht","0","0"
"Turnbeutel","0","0"
"mit","1004","1"
"Sportkleidung","0","0"
"Sporthose und T Shirt","0","0"
"Hallenschuhe","0","0"
"mit heller","0","0"
"Sohle am besten Klettverschluss","0","0"
"Geben Sie Ihrem Kind bei Bedarf ein Brillenetui Haargummi oder P aster zum","0","0"
"Abkleben von Ohrsteckern mit","0","0"
"Bitte beschriften Sie alle Schulsachen in Druckschrift und gut","0","0"
"sichtbar mit dem Namen Ihres Kindes","0","0"
"Hefte müssen Sie nicht besorgen Sie werden als Sammelbestellung von der DIN A4","1079","1"
"Lehrerin gekauft","0","0"
"1 x Eckspannmappe DIN A4 gelb als Postmappe","1053","1"
"1 x Eckspannmappe DIN A4 rot Hausaufgabenmappe","1049","1"
"1x Sammelmappe DIN A3 fu r Kunstbilder","1096","1"
"1x DIN A5 Schreibheft mit Lineatur Mitteilungsheft","1035","1"
"1x stapelbare Ablage","0","0"
"1x Schnellhefter Stehordner DIN A4","1015","1"
"1x Packung Post It Streifen","0","0"
"Allgemein","0","0"
"Schnellhefter DIN A4","1015","1"
"1x rot Deutsch","1002","1"
"1x blau Mathe","0","0"
"1x gru n Sachunterricht","0","0"
"1x lila Religion Ethik","0","0"
"1x schwarz Musik","1054","1"
"1x weiß Leistungsnachweise","0","0"
"Holzbuntstift Sortiment 12 Stu ck dick und dreikant","0","0"
"3 Bleistifte 3x dick je dreikant","0","0"
